 Posted Date, Card No., Description, Debit, Credit
12/7/2015,6977,L2G*KYTRANS MOTOR CAR,41.6,
12/7/2015,6977,AMERICAN AI 0012316326702,121.6,
12/5/2015,6977,AMERICAN AI 0012316251891,121.6,
12/4/2015,6977,TRACFONE *AIRTIME,38.63,
12/4/2015,6977,OR MOTOR CARRIER DIV INTE,110.06,
12/4/2015,6977,INTERNET TRUCKSTOP LLC,35,
12/4/2015,6977,FEDEXOFFICE 00024042,9.04,
12/4/2015,6977,JACKSON GROUP PETERBILT,66.25,
12/4/2015,6977,JACKSON GROUP PETERBILT,18.86,
12/4/2015,6977,SECURE PARKING TRAILER,250,
12/3/2015,4252,ALL KINDS OF STORAGE,41.73,
12/2/2015,6977,GREYHOUND LINES CNP,91.5,
12/2/2015,6977,OR MOTOR CARRIER DIV - SA,121.04,
12/2/2015,6977,STEVENS BAY AREA DIESEL S,80.58,
12/2/2015,3066,FIVE STAR STORAGE WEST,75,
12/2/2015,4252,SELECTHEALTH,277.38,
11/30/2015,6977,TRACFONE *SERVICES,24.24,
11/30/2015,4252,ALK*TECH - PCMILER,69.95,
11/30/2015,6977,AMERICAN AI 0012315813962,369.2,
11/28/2015,6977,VESTA *T-MOBILE,43.46,
