 Posted Date, Card No., Description, Debit, Credit
12/31/2015,6424,LOANSTAR LEASING,720.56,
12/31/2015,6424,NATIONAL LEASE OF UTAH,10219.14,
12/30/2015,4461,CAPITAL ONE ONLINE PYMT AuthDate 30-D EC,,14000
12/30/2015,6424,FEDEXOFFICE 00055962,9.12,
12/30/2015,6424,LARRYS TOWING,1700,
12/29/2015,6424,MCDONALD'S F20695,6.41,
12/30/2015,6424,THE HOME DEPOT 4407,19.65,
12/30/2015,6424,THE HOME DEPOT 4407,5.31,
12/30/2015,6424,HOLIDAY OIL # 54,5.4,
12/28/2015,4461,CAPITAL ONE ONLINE PYMT AuthDate 28-D EC,,11000
12/26/2015,6424,LARRYS TOWING,450,
