 Posted Date, Card No., Description, Debit, Credit
12/21/2015,2583,OK CORPORATION COMMISSIO,300,
12/21/2015,7952,UCR REG FEE,79,
12/21/2015,7952,UCR SERVICE FEE,2.57,
12/21/2015,106,TA #59 OKLAHOMA CITY,55.01,
12/21/2015,7952,UTAH CORPORATIONS REG,48,
12/21/2015,7952,FMCSA OP1 COLLECTIO,300,
12/21/2015,106,OR MOTOR CARRIER DIV,43.23,
12/21/2015,2583,SECURE PARKING TRAILER,190,
12/21/2015,7952,FLEET MANAGEMENT STRAT,75,
12/21/2015,9356,CROSSFIT LEHI,100,
12/19/2015,7952,EMBARK SAFETY LLC,18.1,
12/19/2015,7952,EMBARK SAFETY LLC,17.25,
12/19/2015,7952,WIX.COM*115180264,19.9,
12/19/2015,9356,7-ELEVEN 36330,4.1,
12/19/2015,9356,7-ELEVEN 36330,1,
12/19/2015,7952,POSTSCAN MAIL,24.9,
12/19/2015,7952,POSTSCAN MAIL,24.9,
12/19/2015,7952,HOLIDAY OIL # 54,25.42,
12/18/2015,2583,GPSANDTRACK,20,
12/18/2015,9356,GREYHOUND LINES CNP,245.5,
12/18/2015,582,OR MOTOR CARRIER DIV - SA,8,
12/18/2015,7952,UTAH CORPORATIONS REG,22,
12/18/2015,7952,EMBARK SAFETY LLC,16.5,
12/17/2015,9356,LINDON CITY CORP,710.72,
12/17/2015,9356,"RINGCENTRAL, INC",1.84,
12/17/2015,7952,UCR REG FEE,79,
12/17/2015,7952,UCR SERVICE FEE,2.57,
12/16/2015,710,ARV*ARVIXE,10,
12/15/2015,710,"GOLDEN FROG, INC.",14.99,
12/17/2015,2423,ALASKA AIR 0272183957574,192.1,
12/14/2015,2583,EXPEDIA*1123304934754,60.49,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,1138,POSTSCAN MAIL,24.9,
12/16/2015,2423,JAMESTOWN BOSS SHOP,306.36,
12/15/2015,9356,T-MOBILE RECURRING PMT,505.81,
12/15/2015,9356,WAL-MART #5270,42.56,
12/15/2015,582,TA # 8 GALLUP,50.51,
12/15/2015,710,PRIVATEINTERNETACCESS,6.95,
12/14/2015,9356,CREDIT-TRAVEL REWARD,,276.98
12/14/2015,9356,CROSSFIT LEHI,100,
12/12/2015,7952,UTAH CORPORATIONS REG,48,
12/12/2015,7952,UTAH CORPORATIONS REG,48,
12/12/2015,7952,NATIONAL INDEMNITY CO,1414.92,
