 Posted Date, Card No., Description, Debit, Credit
11/2/2015,2794,PAYPAL *HMA PRO VPN,11.52,
11/2/2015,710,"RINGCENTRAL, INC",303.36,
11/2/2015,7952,GREYHOUND LINES CNP,302.5,
11/2/2015,7952,GREYHOUND LINES CNP,242.5,
11/2/2015,7952,GREYHOUND LINES CNP,280.5,
11/2/2015,7952,GREYHOUND LINES CNP,288.5,
11/2/2015,7952,GREYHOUND LINES CNP,313.5,
11/2/2015,7952,INTERSTATE AUTHORITY LLC,50,
11/2/2015,7952,NATIONAL INDEMNITY CO,1242.72,
10/31/2015,9356,"RINGCENTRAL, INC",,620
10/31/2015,9356,"RINGCENTRAL, INC",,620
10/31/2015,9356,"RINGCENTRAL, INC",,620
10/31/2015,7952,USPS494862955019106202,19.99,
10/31/2015,710,WIX.COM*113951057,31.9,
10/29/2015,2948,RMG*REGUS,59,
10/29/2015,2948,RMG*REGUS/HQ,59,
10/29/2015,2948,RMG*REGUS/HQ,63.58,
10/29/2015,710,"GOLDEN FROG, INC.",14.99,
10/31/2015,582,SAPP BROS SERVICE CENT,128.45,
10/30/2015,1481,INTUIT *QB ONLINE,13.88,
10/28/2015,2948,RMG*REGUS,51.56,
10/28/2015,2948,RMG*REGUS,60.18,
10/28/2015,2948,RMG*REGUS,61.03,
10/28/2015,2948,RMG*REGUS,59,
10/28/2015,2948,RMG*REGUS,59,
10/28/2015,2948,RMG*REGUS/HQ,60.76,
