 Posted Date, Card No., Description, Debit, Credit
11/20/2015,8446,FMCSA LICENSE REINS,80,
11/19/2015,8446,UTAH CORPORATIONS REG,48,
11/19/2015,1420,GREYHOUND LINES CNP,246.5,
11/19/2015,1420,GRYHNDLINES REF 5787,,229
11/19/2015,1420,GRYHNDLINES REF 5787,,254
11/19/2015,1420,GRYHNDLINES REF 5787,,192
11/18/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 18-NOV,,3000
11/19/2015,8446,FLEET MANAGEMENT STRAT,75,
11/18/2015,1420,GREYHOUND LINES CNP,252.5,
11/18/2015,1420,AmazonPrime Membership,,99
11/18/2015,1420,AmazonPrime Membership,9.99,
11/18/2015,1420,GRYHNDLINES REF 5787,,176.5
11/17/2015,8446,THE UPS STORE 2269,31.97,
11/17/2015,8446,FRONTIER AI X4GYWV,262.59,
11/17/2015,8446,WM SUPERCENTER #5270,301.34,
11/17/2015,8446,MAVERIK #399,30,
11/16/2015,8446,UTAH CORPORATIONS REG,48,
11/16/2015,8446,0RIDLEY'S FAMILY MA,21.27,
11/16/2015,1420,GREYHOUND LINES CNP,197,
11/16/2015,1420,AmazonPrime Membership,99,
11/16/2015,8446,EXXONMOBIL 47263868,25,
11/16/2015,8446,MYFLORIDACOUNTY.COM,524.75,
11/16/2015,8446,MYFLORIDACOUNTY.COM,103.5,
11/14/2015,8446,UTAH CORPORATIONS REG,22,
11/14/2015,1420,GREYHOUND LINES CNP,212.5,
11/14/2015,1420,GRYHNDLINES REF 5787,,229
11/14/2015,1420,GRYHNDLINES REF 5787,,148.5
11/14/2015,8446,BONDSEXPRESS.COM,,104
11/14/2015,8446,BONDSEXPRESS.COM,,104
11/14/2015,8446,EXXONMOBIL 47263868,40.05,
