REPORT NAME,CARDHOLDER ACTIVITY FLEET, vr 10082014053308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE QUERY PRODUCED,10/ 8/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE TYPE,Transaction Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT CODE,HU357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER ID,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPORT TYPE,ACCOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN DATE,10/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END DATE,10/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIRARCHY DESCRIPTION,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIRARCHY VALUE,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY SORT,-NONE-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECONDARY SORT,-NONE-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARD NUMBER,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPLOYEE NUMBER,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL RECORDS,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Code,Customer ID,Invoice Number,Transaction Number,Transaction Date,Transaction Time,Posted Date,Reporting Level,Merchant Name,Merchant City,Merchant State,Vehicle Number,Card Number,First Name,Last Name,Employee Number,Driver License Number,Driver License State,Vehicle Description,VIN,License Plate Number,Registration Expiration Date,MISC 1,MISC 2,ID Number,Odometer,Trailer Number,Miles Driven,Cost per Mile,Product Description,Unit/Gallons,PPU/G,Gross Cost,Discount,Net Cost,Hierarchy 1,Hierarchy 2,Hierarchy 3,Hierarchy 4,Hierarchy 5,Hierarchy 6,Hierarchy 7,Hierarchy 8,Hierarchy 9,Hierarchy 10,Hierarchy 11,Hierarchy 12,Hierarchy 13,Hierarchy 14,Hierarchy 15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HU357,BKMFK,24059,000139737,10/05/2014,08:35:11 PM,10/05/2014,F,LOVES #372,ONTARIO,OR,1096,556735xxxxxx0056,96,TRUCK,001096,,,,,,0,,,001096,"126,171.00",,809,$0.390,DIESEL #2 ULTRA LOW SULFUR,86.77,$3.61,$320.11,$6.94,$313.17,,,,,,,,,,,,,,,
HU357,BKMFK,24069,000140220,10/05/2014,08:40:31 PM,10/05/2014,F,LOVES #372,ONTARIO,OR,1096,556735xxxxxx0056,96,TRUCK,001096,,,,,,0,,,001096,0.00,,0,$0.000,DIESEL #2 ULTRA-LOW SULFUR OFF-ROAD,25.48,$3.61,$94.00,$2.04,$91.96,,,,,,,,,,,,,,,
HU357,BKMFK,22761,000551150,10/04/2014,01:43:48 PM,10/04/2014,F,LOVES #372,ONTARIO,OR,1096,556735xxxxxx0056,96,TRUCK,001096,,,,,,0,,,001096,"125,362.00",,911,$0.420,DIESEL #2 ULTRA LOW SULFUR,106.33,$3.61,$392.25,$8.51,$383.74,,,,,,,,,,,,,,,
HU357,BKMFK,22159,000715336,10/03/2014,08:09:37 PM,10/03/2014,F,LOVES #372,ONTARIO,OR,1096,556735xxxxxx0056,96,TRUCK,001096,,,,,,0,,,001096,"124,451.00",,0,$0.000,DIESEL #2 ULTRA LOW SULFUR,114.53,$3.62,$422.50,$8.44,$414.06,,,,,,,,,,,,,,,
HU357,BKMFK,22159,000715336,10/03/2014,08:09:37 PM,10/03/2014,F,LOVES #372,ONTARIO,OR,1096,556735xxxxxx0056,96,TRUCK,001096,,,,,,0,,,001096,"124,451.00",,0,$0.000,DIESL EXHAUST FLUID PUMP,9.72,$2.62,$26.23,$0.72,$25.51,,,,,,,,,,,,,,,
